"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2012","vote_pct_2012","win_margin_2012","incumbent_2012","QTDE_VOTOS_2016","vote_pct_2016","elected_2016"
"7007","MG",3129905,"PR",1245,0.412935323383085,-0.174129353233831,0,1355,0.467563837129055,0
"7008","MG",3130002,"PMDB",821,0.380092592592593,0.0175925925925926,1,610,0.278284671532847,0
"7009","MG",3130002,"PP",783,0.3625,-0.0175925925925926,0,1582,0.721715328467153,1
"7010","MG",3130002,"PSDB",556,0.257407407407407,-0.122685185185185,0,NA,NA,NA
"7011","MG",3130051,"PR",3727,0.615016501650165,0.23003300330033,1,NA,NA,NA
"7012","MG",3130051,"DEM",2333,0.384983498349835,-0.23003300330033,0,NA,NA,NA
"7013","MG",3130101,"PPS",11943,0.629009322167799,0.258018644335598,1,NA,NA,NA
"7014","MG",3130101,"PTB",7044,0.370990677832201,-0.258018644335598,0,NA,NA,NA
"7015","MG",3130200,"PDT",4200,1,NA,1,2825,0.452,0
"7016","MG",3130309,"PSD",3107,0.516541978387365,0.0330839567747299,1,NA,NA,NA
"7017","MG",3130309,"PP",2908,0.483458021612635,-0.0330839567747299,0,3547,0.61473136915078,1
"7018","MG",3130408,"PSDB",2071,0.487868080094228,0.224499411071849,1,NA,NA,NA
"7019","MG",3130408,"PP",1118,0.263368669022379,-0.224499411071849,0,NA,NA,NA
"7020","MG",3130408,"DEM",1056,0.248763250883392,-0.239104829210836,0,NA,NA,NA
"7021","MG",3130507,"PMDB",4180,0.552763819095477,0.155514414176144,1,3028,0.384069000507357,1
"7022","MG",3130507,"PT",3004,0.397249404919334,-0.155514414176144,0,1991,0.252536783358701,0
"7023","MG",3130507,"PDT",330,0.0436392488759587,-0.509124570219519,0,NA,NA,NA
"7024","MG",3130507,"PV",48,0.00634752710923036,-0.546416291986247,0,NA,NA,NA
"7025","MG",3130556,"PMDB",2783,0.555821849410825,0.11164369882165,1,2476,0.477163229909424,0
"7026","MG",3130556,"DEM",2224,0.444178150589175,-0.11164369882165,0,2713,0.522836770090576,1
"7027","MG",3130606,"PP",2747,0.502377468910022,0.00475493782004394,1,NA,NA,NA
"7028","MG",3130606,"PMDB",2721,0.497622531089978,-0.00475493782004394,0,2914,0.528089887640449,1
"7029","MG",3130655,"PHS",2891,0.671544715447154,0.343089430894309,1,NA,NA,NA
"7030","MG",3130655,"PTB",1414,0.328455284552846,-0.343089430894309,0,NA,NA,NA
"7031","MG",3130705,"PSDB",2487,0.550952591936198,0.101905183872397,1,NA,NA,NA
