"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2000","vote_pct_2000","rank_2000","win_margin_2000","Incumbent_2000","vote_pct_2004","NOME","POP_201","IDHM_10","PIB_PER"
"2772","PE",2606101,"PMDB",2500,0.220012320689959,2,-0.404382645428144,0,NA,"GLORIA DO GOITA",29241,0.604,4011
"2773","PE",2606101,"PFL",1768,0.155592713191939,3,-0.468802252926164,0,NA,"GLORIA DO GOITA",29241,0.604,4011
"2774","PE",2606200,"PTB",12509,0.363760614167733,1,0.00209375363498892,1,0.462776090202337,"GOIANA",75902,0.651,9706
"2775","PE",2606200,"PSL",12437,0.361666860532744,2,-0.00209375363498892,0,NA,"GOIANA",75902,0.651,9706
"2776","PE",2606200,"PFL",9442,0.274572525299523,3,-0.0891880888682098,0,NA,"GOIANA",75902,0.651,9706
"2777","PE",2606309,"PSB",1925,0.574798447297701,1,0.149596894595402,1,NA,"GRANITO",6968,0.595,5794
"2778","PE",2606309,"PMDB",1424,0.425201552702299,2,-0.149596894595402,0,0.398200224971879,"GRANITO",6968,0.595,5794
"2779","PE",2606408,"PFL",15367,0.519488861093269,1,0.187349988168081,1,0.432697532876861,"GRAVATA",77845,0.634,6171
"2780","PE",2606408,"PSB",9825,0.332138872925188,2,-0.187349988168081,0,NA,"GRAVATA",77845,0.634,6171
"2781","PE",2606408,"PL",4033,0.136337513944762,3,-0.383151347148507,0,NA,"GRAVATA",77845,0.634,6171
"2782","PE",2606408,"PT",356,0.0120347520367804,4,-0.507454109056489,0,0.0361373763721335,"GRAVATA",77845,0.634,6171
"2783","PE",2606507,"PFL",5940,0.768832513590474,1,0.576236085943567,1,0.543943719412724,"IATI",18462,0.528,4195
"2784","PE",2606507,"PMDB",1488,0.192596427646907,2,-0.576236085943567,0,0.00876835236541598,"IATI",18462,0.528,4195
"2785","PE",2606507,"PT",298,0.0385710587626197,3,-0.730261454827854,0,NA,"IATI",18462,0.528,4195
"2786","PE",2606606,"PSDB",6050,0.564945373050705,1,0.138668409748809,1,0.364059126390965,"IBIMIRIM",27349,0.552,5142
"2787","PE",2606606,"PFL",4565,0.426276963301896,2,-0.138668409748809,0,NA,"IBIMIRIM",27349,0.552,5142
"2788","PE",2606606,"PT do B",94,0.00877766364739938,3,-0.556167709403306,0,NA,"IBIMIRIM",27349,0.552,5142
"2789","PE",2606705,"PFL",2472,0.548723640399556,1,0.0974472807991121,1,0.516441005802708,"IBIRAJUBA",7549,0.58,5396
"2790","PE",2606705,"PSDB",2033,0.451276359600444,2,-0.0974472807991121,0,NA,"IBIRAJUBA",7549,0.58,5396
"2791","PE",2606804,"PSB",27679,0.747919368785128,1,0.5563121487246,1,0.479478284375563,"IGARASSU",105003,0.665,11244
"2792","PE",2606804,"PMDB",7091,0.191607220060527,2,-0.5563121487246,0,NA,"IGARASSU",105003,0.665,11244
"2793","PE",2606804,"PRTB",2010,0.0543125810635538,3,-0.693606787721574,0,NA,"IGARASSU",105003,0.665,11244
"2794","PE",2606804,"PTB",228,0.00616083009079118,4,-0.741758538694336,0,NA,"IGARASSU",105003,0.665,11244
"2795","PE",2606903,"PFL",3144,0.547926106657372,1,0.0958522133147439,1,0.65666156202144,"IGUARACI",11824,0.598,4129
"2796","PE",2606903,"PSDB",2594,0.452073893342628,2,-0.0958522133147439,0,NA,"IGUARACI",11824,0.598,4129
"2797","PE",2607000,"PSL",3594,0.598102845731403,1,0.196205691462806,1,NA,"INAJA",19957,0.523,4753
"2798","PE",2607000,"PSDB",2415,0.401897154268597,2,-0.196205691462806,0,NA,"INAJA",19957,0.523,4753
"2799","PE",2607109,"PMDB",1555,0.552790615001778,1,0.107003199431212,1,0.559169278996865,"INGAZEIRA",4486,0.608,4851
"2800","PE",2607109,"PFL",1254,0.445787415570565,2,-0.107003199431212,0,NA,"INGAZEIRA",4486,0.608,4851
"2801","PE",2607109,"PSDB",4,0.0014219694276573,3,-0.55136864557412,0,NA,"INGAZEIRA",4486,0.608,4851
"2802","PE",2607208,"PSDB",13927,0.472325849555721,1,0.0187546632300075,1,NA,"IPOJUCA",83862,0.619,112924
"2803","PE",2607208,"PMDB",13374,0.453571186325714,2,-0.0187546632300075,0,0.622322496466239,"IPOJUCA",83862,0.619,112924
"2804","PE",2607208,"PSB",2185,0.0741029641185647,3,-0.398222885437157,0,NA,"IPOJUCA",83862,0.619,112924
"2805","PE",2607307,"PSDB",5705,0.554637371184134,1,0.109274742368268,1,0.387197118533071,"IPUBI",28887,0.55,4950
"2806","PE",2607307,"PMDB",4581,0.445362628815866,2,-0.109274742368268,0,NA,"IPUBI",28887,0.55,4950
"2807","PE",2607406,"PFL",2142,0.759574468085106,1,0.519148936170213,1,NA,"ITACURUBA",4475,0.595,6321
"2808","PE",2607406,"PDT",678,0.240425531914894,2,-0.519148936170213,0,NA,"ITACURUBA",4475,0.595,6321
"2809","PE",2607505,"PMDB",6543,0.630893838588371,1,0.261787677176743,1,0.509429132178513,"ITAIBA",26175,0.51,6521
"2810","PE",2607505,"PDT",3828,0.369106161411629,2,-0.261787677176743,0,NA,"ITAIBA",26175,0.51,6521
"2811","PE",2607604,"PPB",2937,0.33037120359955,1,0.0205849268841395,1,NA,"ILHA DE ITAMARACA",22794,0.653,5418
"2812","PE",2607604,"PDT",2754,0.309786276715411,2,-0.0205849268841395,0,NA,"ILHA DE ITAMARACA",22794,0.653,5418
"2813","PE",2607604,"PFL",2011,0.226209223847019,3,-0.104161979752531,0,0.421139705882353,"ILHA DE ITAMARACA",22794,0.653,5418
"2814","PE",2607604,"PST",1188,0.13363329583802,4,-0.19673790776153,0,NA,"ILHA DE ITAMARACA",22794,0.653,5418
"2815","PE",2607653,"PMDB",7766,0.523562327243309,1,0.0571698240409897,1,NA,"ITAMBE",35461,0.575,5695
"2816","PE",2607653,"PSDB",6918,0.466392503202319,2,-0.0571698240409897,0,0.511002886002886,"ITAMBE",35461,0.575,5695
"2817","PE",2607653,"PPS",149,0.010045169554372,3,-0.513517157688937,0,NA,"ITAMBE",35461,0.575,5695
"2818","PE",2607703,"PSB",4149,0.529344220464404,1,0.0586884409288084,1,0.64779258896906,"ITAPETIM",13748,0.592,4275
"2819","PE",2607703,"PMDB",3689,0.470655779535596,2,-0.0586884409288084,0,0.35220741103094,"ITAPETIM",13748,0.592,4275
"2820","PE",2607752,"PSB",5296,0.511443746982134,1,0.0228874939642685,1,NA,"ITAPISSUMA",24321,0.633,20208
"2821","PE",2607752,"PMDB",5059,0.488556253017866,2,-0.0228874939642685,0,NA,"ITAPISSUMA",24321,0.633,20208
"2822","PE",2607802,"PMDB",3746,0.482234809474768,1,0.193357363542739,1,0.544881180313098,"ITAQUITINGA",16221,0.586,6022
"2823","PE",2607802,"PTB",2244,0.288877445932029,2,-0.193357363542739,0,0.447009798400721,"ITAQUITINGA",16221,0.586,6022
"2824","PE",2607802,"PL",1778,0.228887744593203,3,-0.253347064881565,0,NA,"ITAQUITINGA",16221,0.586,6022
"2825","PE",2607950,"PFL",3428,0.648137644167139,1,0.296275288334279,1,0.537247885491217,"JAQUEIRA",11479,0.575,4638
"2826","PE",2607950,"PT",1861,0.351862355832861,2,-0.296275288334279,0,0.462752114508783,"JAQUEIRA",11479,0.575,4638
"2827","PE",2608008,"PMDB",4379,0.594326818675353,1,0.188653637350706,1,0.556423506790049,"JATAUBA",16219,0.53,4581
