"","ANO_ELEICAO","NUM_TURNO","UF","COD_MUN_IBGE","NOME_MUNICIPIO","SIGLA_PARTIDO","QTDE_VOTOS.x","vote_pct_2012","rank_2012","first_rank_vote_pct","second_rank_vote_pct","win_margin","Incumbent","QTDE_VOTOS.y","vote_pct_2016"
"5541",2012,1,"BA",2914406,"Iraquara","PP",6151,0.518022570321711,1,0.518022570321711,0.481977429678289,0.0360451406434226,1,NA,NA
"5542",2012,1,"BA",2914406,"Iraquara","PT",5723,0.481977429678289,2,0.518022570321711,0.481977429678289,-0.0360451406434226,0,NA,NA
"5543",2012,1,"BA",2914505,"Irará","PT",10435,0.620171163675264,1,0.620171163675264,0.379828836324736,0.240342327350529,1,8487,0.484307235790915
"5544",2012,1,"BA",2914505,"Irará","PRP",6391,0.379828836324736,2,0.620171163675264,0.379828836324736,-0.240342327350529,0,NA,NA
"5545",2012,1,"BA",2914604,"Irecê","PTN",16738,0.511662030385474,1,0.511662030385474,0.488337969614526,0.0233240607709473,1,16515,0.487153771275184
"5546",2012,1,"BA",2914604,"Irecê","PT",15975,0.488337969614526,2,0.511662030385474,0.488337969614526,-0.0233240607709473,0,NA,NA
"5547",2012,1,"BA",2914653,"Itabela","PR",7924,0.498615655675812,1,0.498615655675812,0.267556003020388,0.231059652655424,1,NA,NA
"5548",2012,1,"BA",2914653,"Itabela","PMDB",4252,0.267556003020388,2,0.498615655675812,0.267556003020388,-0.231059652655424,0,4547,0.306298416975413
"5549",2012,1,"BA",2914653,"Itabela","PRB",2228,0.140196325195067,3,0.498615655675812,0.267556003020388,-0.358419330480745,0,5496,0.37022566520714
"5550",2012,1,"BA",2914653,"Itabela","PDT",1488,0.093632016108734,4,0.498615655675812,0.267556003020388,-0.404983639567078,0,NA,NA
"5551",2012,1,"BA",2914703,"Itaberaba","PP",21988,0.761120149537886,1,0.761120149537886,0.123299525771055,0.637820623766832,1,NA,NA
"5552",2012,1,"BA",2914703,"Itaberaba","PSDB",3562,0.123299525771055,2,0.761120149537886,0.123299525771055,-0.637820623766832,0,11777,0.395586308824023
"5553",2012,1,"BA",2914703,"Itaberaba","PT",2658,0.0920073384333137,3,0.761120149537886,0.123299525771055,-0.669112811104573,0,1441,0.0484028081018441
"5554",2012,1,"BA",2914703,"Itaberaba","PSOL",681,0.0235729862577452,4,0.761120149537886,0.123299525771055,-0.737547163280141,0,NA,NA
"5555",2012,1,"BA",2914802,"Itabuna","PRB",45623,0.416241663397411,1,0.416241663397411,0.406141943489011,0.0100997199084,1,NA,NA
"5556",2012,1,"BA",2914802,"Itabuna","DEM",44516,0.406141943489011,2,0.416241663397411,0.406141943489011,-0.0100997199084,0,34152,0.324050440739722
